POLICY_ID,POLICY_NUMBER,POLICYHOLDER_NAME,LINE_OF_BUSINESS,COVERAGE_TYPE,EFFECTIVE_DATE,EXPIRATION_DATE,PREMIUM_AMOUNT,DEDUCTIBLE_AMOUNT,COVERAGE_LIMIT,STATE,AGENCY_CODE,UNDERWRITER_ID,STATUS,CREATED_AT
POL-0003922,ENC-2026-003922,Policyholder_3922,Workers Compensation,Bodily Injury,2025-03-17,2026-02-26,44713.74,1054.9,3211176.94,NC,AGN-107,UW-022,CANCELLED,2025-10-22 12:31:05
POL-0003923,ENC-2026-003923,Policyholder_3923,Business Owners Policy,Bodily Injury,2026-02-17,2026-04-02,17655.1,4568.93,2130485.12,WV,AGN-180,UW-023,ACTIVE,2026-05-13 03:46:05
POL-0003924,ENC-2026-003924,Policyholder_3924,Commercial Property,Property Damage,2026-01-07,2026-05-15,36957.27,1030.53,4335675.06,VA,AGN-046,UW-003,ACTIVE,2025-12-07 15:25:05
POL-0003925,ENC-2026-003925,Policyholder_3925,Commercial Auto,Medical Payments,2026-03-09,2026-05-08,3938.55,7448.87,4387584.77,IL,AGN-179,UW-009,CANCELLED,2026-02-07 19:26:05
POL-0003926,ENC-2026-003926,Policyholder_3926,General Liability,Comprehensive,2025-04-04,2025-05-16,42937.68,2542.63,2019217.3,WV,AGN-055,UW-005,CANCELLED,2025-12-23 08:08:05
POL-0003927,ENC-2026-003927,Policyholder_3927,Commercial Property,Collision,2025-08-10,2026-01-30,2888.09,4086.19,2178790.19,SC,AGN-061,UW-016,ACTIVE,2025-10-05 04:27:05
POL-0003928,ENC-2026-003928,Policyholder_3928,Commercial Property,Comprehensive,2024-07-31,2024-11-22,6334.98,834.64,846658.37,MD,AGN-007,UW-017,ACTIVE,2025-06-21 12:31:05
POL-0003929,ENC-2026-003929,Policyholder_3929,Commercial Property,Umbrella,2024-07-29,2025-05-27,5204.03,844.29,1756983.98,NC,AGN-070,UW-015,ACTIVE,2025-07-02 23:34:05
POL-0003930,ENC-2026-003930,Policyholder_3930,Commercial Auto,Medical Payments,2025-05-22,2026-03-24,22768.11,457.56,1165104.21,IL,AGN-058,UW-013,ACTIVE,2025-07-08 06:06:05
POL-0003931,ENC-2026-003931,Policyholder_3931,Workers Compensation,Collision,2025-06-02,2026-05-22,46617.47,9777.36,4175614.88,OH,AGN-150,UW-025,ACTIVE,2025-07-12 22:22:05
POL-0003932,ENC-2026-003932,Policyholder_3932,Commercial Auto,Comprehensive,2024-09-05,2025-08-21,14476.55,7233.26,2040965.76,WV,AGN-056,UW-025,ACTIVE,2026-05-03 04:01:05
POL-0003933,ENC-2026-003933,Policyholder_3933,General Liability,Medical Payments,2025-07-04,2026-01-11,43910.36,491.84,3078754.49,GA,AGN-045,UW-001,CANCELLED,2025-09-30 20:01:05
POL-0003934,ENC-2026-003934,Policyholder_3934,Commercial Auto,Medical Payments,2026-04-01,2026-07-18,17208.79,4605.04,1051486.84,IL,AGN-199,UW-020,ACTIVE,2025-10-15 11:11:05
POL-0003935,ENC-2026-003935,Policyholder_3935,General Liability,Medical Payments,2026-01-24,2026-09-28,4493.09,4843.28,4102057.65,SC,AGN-052,UW-002,ACTIVE,2026-02-16 09:29:05
POL-0003936,ENC-2026-003936,Policyholder_3936,General Liability,Collision,2025-11-09,2026-01-23,47854.52,6930.28,4334597.55,GA,AGN-197,UW-030,ACTIVE,2026-04-27 21:03:05
POL-0003937,ENC-2026-003937,Policyholder_3937,Commercial Property,Comprehensive,2025-08-04,2026-06-13,44506.83,5276.35,2174729.79,IL,AGN-021,UW-004,EXPIRED,2026-03-01 09:29:05
POL-0003938,ENC-2026-003938,Policyholder_3938,General Liability,Property Damage,2026-04-04,2026-10-05,20191.48,3355.95,4153212.52,TN,AGN-124,UW-005,ACTIVE,2026-04-08 17:53:05
POL-0003939,ENC-2026-003939,Policyholder_3939,Business Owners Policy,Property Damage,2025-01-25,2025-04-19,539.15,5425.31,519024.46,SC,AGN-117,UW-014,ACTIVE,2025-10-18 13:03:05
POL-0003940,ENC-2026-003940,Policyholder_3940,General Liability,Collision,2025-04-14,2025-07-18,24457.71,8324.2,2285417.79,IN,AGN-004,UW-015,ACTIVE,2026-05-22 08:27:05
POL-0003941,ENC-2026-003941,Policyholder_3941,Workers Compensation,Collision,2025-03-01,2025-12-25,49608.88,8356.81,549206.81,TN,AGN-061,UW-012,ACTIVE,2025-07-19 11:34:05
POL-0003942,ENC-2026-003942,Policyholder_3942,Commercial Auto,Medical Payments,2024-10-10,2025-08-27,48861.77,3592.22,1621666.74,TN,AGN-098,UW-018,ACTIVE,2025-07-31 02:21:05
POL-0003943,ENC-2026-003943,Policyholder_3943,General Liability,Umbrella,2024-12-08,2025-09-10,41566.57,3895.79,1970744.72,NC,AGN-009,UW-008,CANCELLED,2026-03-03 23:20:05
POL-0003944,ENC-2026-003944,Policyholder_3944,Commercial Property,Property Damage,2025-08-13,2026-05-15,13619.4,7313.85,4415133.57,KY,AGN-183,UW-021,ACTIVE,2026-04-23 23:33:05
POL-0003945,ENC-2026-003945,Policyholder_3945,Commercial Property,Comprehensive,2024-07-03,2024-09-10,30691.09,3954.8,3353773.72,IL,AGN-057,UW-005,ACTIVE,2026-01-31 19:20:05
POL-0003946,ENC-2026-003946,Policyholder_3946,General Liability,Medical Payments,2025-06-15,2026-03-21,36027.74,4331.0,3524990.36,KY,AGN-164,UW-021,EXPIRED,2025-07-17 22:39:05
POL-0003947,ENC-2026-003947,Policyholder_3947,Business Owners Policy,Medical Payments,2024-07-20,2024-12-14,5035.49,1475.62,3795973.88,SC,AGN-149,UW-022,ACTIVE,2026-05-17 07:50:05
POL-0003948,ENC-2026-003948,Policyholder_3948,Commercial Auto,Collision,2024-10-12,2025-07-29,3151.69,8326.31,4547451.08,OH,AGN-148,UW-018,ACTIVE,2026-04-26 09:56:05
POL-0003949,ENC-2026-003949,Policyholder_3949,General Liability,Medical Payments,2024-07-10,2025-05-03,40875.9,2247.12,1285909.14,NC,AGN-136,UW-002,ACTIVE,2025-06-05 04:30:05
POL-0003950,ENC-2026-003950,Policyholder_3950,General Liability,Medical Payments,2025-01-27,2026-01-07,24618.47,3124.24,3521345.77,IN,AGN-181,UW-014,ACTIVE,2025-09-30 08:52:05
POL-0003951,ENC-2026-003951,Policyholder_3951,Workers Compensation,Bodily Injury,2026-01-19,2026-11-19,1519.24,4218.99,2523892.16,WV,AGN-155,UW-021,ACTIVE,2026-02-12 16:36:05
POL-0003952,ENC-2026-003952,Policyholder_3952,Business Owners Policy,Collision,2024-11-01,2025-03-31,1696.96,7262.52,3210043.55,MD,AGN-086,UW-004,ACTIVE,2025-10-21 23:51:05
POL-0003953,ENC-2026-003953,Policyholder_3953,Workers Compensation,Medical Payments,2024-09-29,2025-08-26,13608.25,7948.82,1919254.06,TN,AGN-123,UW-029,ACTIVE,2026-02-09 13:55:05
POL-0003954,ENC-2026-003954,Policyholder_3954,General Liability,Umbrella,2025-10-16,2026-05-06,38543.11,8453.47,4562103.63,NC,AGN-104,UW-008,ACTIVE,2026-01-09 20:45:05
POL-0003955,ENC-2026-003955,Policyholder_3955,Workers Compensation,Medical Payments,2026-01-09,2026-12-23,46041.39,4809.21,1738326.09,WV,AGN-197,UW-005,ACTIVE,2025-12-21 08:07:05
POL-0003956,ENC-2026-003956,Policyholder_3956,Workers Compensation,Property Damage,2024-08-08,2025-03-31,20905.06,1985.29,2409487.81,IN,AGN-119,UW-004,ACTIVE,2026-01-19 09:17:05
POL-0003957,ENC-2026-003957,Policyholder_3957,Workers Compensation,Medical Payments,2024-06-22,2024-10-03,13397.25,4679.21,3572878.11,KY,AGN-002,UW-021,ACTIVE,2026-05-14 09:10:05
POL-0003958,ENC-2026-003958,Policyholder_3958,Business Owners Policy,Property Damage,2025-01-30,2025-07-12,24492.46,4340.19,2696673.55,GA,AGN-077,UW-004,ACTIVE,2026-01-30 03:19:05
POL-0003959,ENC-2026-003959,Policyholder_3959,Commercial Auto,Property Damage,2025-08-13,2025-11-11,25022.39,7786.99,1022712.83,MD,AGN-074,UW-018,ACTIVE,2026-02-24 00:03:05
POL-0003960,ENC-2026-003960,Policyholder_3960,Workers Compensation,Comprehensive,2025-12-16,2026-05-26,27069.18,4022.29,126556.12,VA,AGN-094,UW-026,ACTIVE,2026-01-18 11:55:05
POL-0003961,ENC-2026-003961,Policyholder_3961,Workers Compensation,Medical Payments,2024-12-13,2025-08-17,20665.51,8122.26,538596.84,SC,AGN-197,UW-019,ACTIVE,2025-06-24 17:59:05
POL-0003962,ENC-2026-003962,Policyholder_3962,Commercial Auto,Bodily Injury,2024-06-25,2024-09-14,28624.54,6689.45,4439556.47,SC,AGN-044,UW-027,ACTIVE,2025-08-03 04:09:05
POL-0003963,ENC-2026-003963,Policyholder_3963,Workers Compensation,Comprehensive,2024-06-27,2024-11-24,12894.84,5710.52,4481052.3,OH,AGN-173,UW-004,EXPIRED,2026-03-18 06:31:05
POL-0003964,ENC-2026-003964,Policyholder_3964,Commercial Auto,Umbrella,2026-02-09,2026-05-19,5702.96,3386.48,3253514.75,KY,AGN-050,UW-027,CANCELLED,2025-07-21 20:08:05
POL-0003965,ENC-2026-003965,Policyholder_3965,Workers Compensation,Medical Payments,2024-08-29,2024-11-16,24628.94,9123.02,1299419.11,GA,AGN-001,UW-022,ACTIVE,2026-02-16 20:11:05
POL-0003966,ENC-2026-003966,Policyholder_3966,General Liability,Comprehensive,2024-10-22,2025-09-21,31943.06,8656.58,1344052.54,IN,AGN-155,UW-020,ACTIVE,2025-11-07 10:26:05
POL-0003967,ENC-2026-003967,Policyholder_3967,Business Owners Policy,Bodily Injury,2025-06-27,2025-08-12,23496.88,2705.34,677402.17,NC,AGN-164,UW-011,ACTIVE,2025-08-14 06:53:05
POL-0003968,ENC-2026-003968,Policyholder_3968,General Liability,Comprehensive,2024-11-04,2024-12-11,43989.2,3372.41,933177.08,NC,AGN-012,UW-001,EXPIRED,2025-08-15 20:38:05
POL-0003969,ENC-2026-003969,Policyholder_3969,Commercial Property,Comprehensive,2024-09-09,2025-07-14,38536.06,5236.71,84287.93,VA,AGN-001,UW-001,ACTIVE,2025-12-06 14:32:05
POL-0003970,ENC-2026-003970,Policyholder_3970,Commercial Auto,Comprehensive,2024-10-22,2025-02-07,36940.09,6388.88,3940584.29,SC,AGN-161,UW-005,ACTIVE,2026-04-29 15:01:05
POL-0003971,ENC-2026-003971,Policyholder_3971,Business Owners Policy,Property Damage,2025-01-15,2025-03-22,45031.86,4384.99,3702802.19,WV,AGN-053,UW-028,ACTIVE,2025-05-28 02:32:05
POL-0003972,ENC-2026-003972,Policyholder_3972,Commercial Property,Medical Payments,2025-04-03,2026-03-30,13821.14,3646.87,4890485.38,IN,AGN-149,UW-018,ACTIVE,2026-04-25 07:01:05
POL-0003973,ENC-2026-003973,Policyholder_3973,General Liability,Comprehensive,2024-05-30,2024-09-01,33326.09,8360.25,3487949.13,PA,AGN-040,UW-022,ACTIVE,2025-08-12 07:48:05
POL-0003974,ENC-2026-003974,Policyholder_3974,General Liability,Medical Payments,2025-05-20,2026-03-21,29395.72,7109.01,1982691.85,GA,AGN-150,UW-025,ACTIVE,2025-07-03 03:30:05
POL-0003975,ENC-2026-003975,Policyholder_3975,Workers Compensation,Medical Payments,2024-07-04,2025-07-04,30645.84,766.91,746938.12,IL,AGN-059,UW-008,ACTIVE,2025-11-22 09:07:05
POL-0003976,ENC-2026-003976,Policyholder_3976,General Liability,Comprehensive,2024-11-04,2025-08-19,32648.22,2809.81,3291233.41,SC,AGN-133,UW-027,ACTIVE,2025-07-18 17:05:05
POL-0003977,ENC-2026-003977,Policyholder_3977,Commercial Property,Medical Payments,2025-02-04,2025-04-16,16398.38,9125.14,2466836.23,VA,AGN-005,UW-023,ACTIVE,2025-07-04 16:24:05
POL-0003978,ENC-2026-003978,Policyholder_3978,Business Owners Policy,Comprehensive,2025-03-02,2025-05-15,33627.53,806.72,3957991.94,SC,AGN-157,UW-010,ACTIVE,2026-04-22 07:32:05
POL-0003979,ENC-2026-003979,Policyholder_3979,General Liability,Umbrella,2024-09-23,2025-04-08,2586.33,4775.96,3914707.22,GA,AGN-158,UW-022,ACTIVE,2025-06-06 17:44:05
POL-0003980,ENC-2026-003980,Policyholder_3980,Commercial Property,Property Damage,2025-05-24,2025-11-04,28340.01,6255.76,648899.12,SC,AGN-042,UW-017,EXPIRED,2026-01-02 10:11:05
POL-0003981,ENC-2026-003981,Policyholder_3981,Commercial Auto,Medical Payments,2024-11-13,2025-05-16,29551.79,668.53,268351.79,WV,AGN-108,UW-006,ACTIVE,2025-08-16 04:36:05
POL-0003982,ENC-2026-003982,Policyholder_3982,Commercial Auto,Umbrella,2025-05-06,2026-03-08,9677.26,458.71,326233.54,SC,AGN-170,UW-001,CANCELLED,2025-11-24 06:10:05
POL-0003983,ENC-2026-003983,Policyholder_3983,Commercial Auto,Medical Payments,2026-04-04,2026-06-14,43271.14,9653.11,3305100.26,KY,AGN-115,UW-011,ACTIVE,2025-06-08 16:19:05
POL-0003984,ENC-2026-003984,Policyholder_3984,Workers Compensation,Umbrella,2024-08-02,2024-11-05,21372.57,488.79,3453477.08,PA,AGN-109,UW-027,ACTIVE,2025-07-21 22:01:05
POL-0003985,ENC-2026-003985,Policyholder_3985,Business Owners Policy,Property Damage,2026-04-24,2026-07-16,6821.83,2307.87,4293085.22,PA,AGN-181,UW-006,ACTIVE,2025-12-26 01:20:05
POL-0003986,ENC-2026-003986,Policyholder_3986,Commercial Property,Property Damage,2024-05-26,2024-11-18,7203.27,9134.23,624641.57,IL,AGN-011,UW-013,ACTIVE,2025-06-26 06:04:05
POL-0003987,ENC-2026-003987,Policyholder_3987,Commercial Auto,Property Damage,2025-12-04,2026-06-09,31263.93,3755.51,4810786.4,IL,AGN-125,UW-029,ACTIVE,2026-03-05 11:27:05
POL-0003988,ENC-2026-003988,Policyholder_3988,Commercial Auto,Bodily Injury,2024-12-21,2025-09-25,47655.96,9581.26,4722430.62,GA,AGN-055,UW-011,ACTIVE,2025-10-12 16:19:05
POL-0003989,ENC-2026-003989,Policyholder_3989,Business Owners Policy,Property Damage,2024-10-23,2025-09-26,43003.4,6824.64,232920.12,IL,AGN-107,UW-008,ACTIVE,2026-01-09 00:32:05
POL-0003990,ENC-2026-003990,Policyholder_3990,Commercial Property,Comprehensive,2025-06-15,2026-06-01,1210.77,2825.53,3885695.98,OH,AGN-174,UW-005,ACTIVE,2026-03-06 15:01:05
POL-0003991,ENC-2026-003991,Policyholder_3991,Workers Compensation,Collision,2025-06-06,2026-04-20,12835.02,9844.85,4139348.1,GA,AGN-199,UW-021,ACTIVE,2026-02-19 04:07:05
POL-0003992,ENC-2026-003992,Policyholder_3992,Commercial Auto,Medical Payments,2024-12-20,2025-07-31,36519.56,3633.69,1692722.32,NC,AGN-143,UW-011,ACTIVE,2025-11-10 03:38:05
POL-0003993,ENC-2026-003993,Policyholder_3993,Workers Compensation,Comprehensive,2026-03-31,2026-12-04,24109.19,1886.09,2034238.92,GA,AGN-122,UW-004,ACTIVE,2026-01-31 19:58:05
POL-0003994,ENC-2026-003994,Policyholder_3994,Workers Compensation,Collision,2026-03-01,2026-06-28,32233.18,3570.58,1284164.44,PA,AGN-114,UW-020,ACTIVE,2025-09-07 09:53:05
POL-0003995,ENC-2026-003995,Policyholder_3995,Business Owners Policy,Medical Payments,2024-09-03,2025-02-15,14747.48,309.02,4100385.12,IL,AGN-179,UW-010,ACTIVE,2025-11-16 19:40:05
POL-0003996,ENC-2026-003996,Policyholder_3996,General Liability,Collision,2024-06-12,2025-01-25,2498.41,6132.74,1707573.24,IN,AGN-017,UW-017,ACTIVE,2026-04-02 02:36:05
POL-0003997,ENC-2026-003997,Policyholder_3997,Commercial Auto,Medical Payments,2024-07-01,2024-09-30,32920.28,3645.49,2841047.56,WV,AGN-046,UW-019,ACTIVE,2025-08-30 17:19:05
POL-0003998,ENC-2026-003998,Policyholder_3998,General Liability,Medical Payments,2025-10-12,2026-03-17,4289.57,6760.4,2328309.84,TN,AGN-185,UW-003,CANCELLED,2026-04-14 05:01:05
POL-0003999,ENC-2026-003999,Policyholder_3999,Commercial Auto,Medical Payments,2026-01-05,2026-08-16,47071.29,2138.35,305429.78,PA,AGN-140,UW-020,ACTIVE,2026-05-24 02:28:05
POL-0004000,ENC-2026-004000,Policyholder_4000,Commercial Property,Medical Payments,2025-05-21,2026-04-25,11555.9,4302.35,3859790.36,TN,AGN-065,UW-020,ACTIVE,2026-02-09 00:42:05
POL-0004001,ENC-2026-004001,Policyholder_4001,Business Owners Policy,Comprehensive,2024-12-20,2025-08-06,29324.0,7224.46,2118663.99,NC,AGN-162,UW-024,ACTIVE,2026-04-08 22:02:05
POL-0004002,ENC-2026-004002,Policyholder_4002,Commercial Auto,Medical Payments,2024-11-02,2025-08-05,48395.28,3334.8,3385776.98,GA,AGN-075,UW-007,CANCELLED,2026-04-14 01:35:05
POL-0004003,ENC-2026-004003,Policyholder_4003,Commercial Property,Umbrella,2024-07-15,2025-01-23,22627.74,5752.75,229588.97,OH,AGN-083,UW-007,ACTIVE,2025-06-20 18:53:05
POL-0004004,ENC-2026-004004,Policyholder_4004,Commercial Auto,Medical Payments,2025-02-20,2025-04-01,3574.78,9090.14,4975166.48,GA,AGN-193,UW-030,ACTIVE,2025-12-22 10:22:05
POL-0004005,ENC-2026-004005,Policyholder_4005,Commercial Auto,Collision,2025-04-14,2026-02-13,28874.67,3899.72,4361292.03,IN,AGN-164,UW-006,ACTIVE,2025-10-25 04:56:05
POL-0004006,ENC-2026-004006,Policyholder_4006,General Liability,Collision,2025-09-05,2025-10-22,43407.61,1314.66,2625071.56,IL,AGN-062,UW-012,ACTIVE,2025-08-01 11:55:05
POL-0004007,ENC-2026-004007,Policyholder_4007,Workers Compensation,Medical Payments,2025-11-01,2026-03-31,29358.55,1931.17,923383.27,KY,AGN-178,UW-017,ACTIVE,2026-04-26 21:50:05
POL-0004008,ENC-2026-004008,Policyholder_4008,Commercial Auto,Property Damage,2025-07-04,2026-01-27,45894.63,7717.1,4969393.09,IL,AGN-120,UW-009,ACTIVE,2026-02-08 10:55:05
POL-0004009,ENC-2026-004009,Policyholder_4009,Commercial Auto,Bodily Injury,2025-07-10,2026-06-10,7122.98,7083.13,811599.9,IN,AGN-119,UW-009,ACTIVE,2025-07-05 19:53:05
POL-0004010,ENC-2026-004010,Policyholder_4010,Commercial Auto,Property Damage,2024-11-04,2025-01-11,39168.18,8568.31,1969957.24,PA,AGN-071,UW-007,ACTIVE,2026-02-08 12:18:05
POL-0004011,ENC-2026-004011,Policyholder_4011,Commercial Auto,Bodily Injury,2025-02-24,2025-03-27,12659.1,3824.74,1424773.95,IL,AGN-104,UW-021,ACTIVE,2026-02-23 02:10:05
POL-0004012,ENC-2026-004012,Policyholder_4012,General Liability,Medical Payments,2024-10-12,2025-07-22,7962.01,3759.87,3624183.18,IN,AGN-069,UW-022,ACTIVE,2025-07-01 21:47:05
POL-0004013,ENC-2026-004013,Policyholder_4013,General Liability,Umbrella,2025-05-01,2025-07-18,19375.67,5196.54,265606.4,IL,AGN-191,UW-026,ACTIVE,2025-06-22 11:27:05
POL-0004014,ENC-2026-004014,Policyholder_4014,General Liability,Umbrella,2025-04-18,2025-08-12,49588.75,3504.56,3292933.01,WV,AGN-044,UW-009,ACTIVE,2026-05-07 10:02:05
POL-0004015,ENC-2026-004015,Policyholder_4015,Commercial Auto,Property Damage,2025-04-22,2025-09-20,48079.32,9935.77,3083398.18,OH,AGN-069,UW-012,ACTIVE,2025-06-24 04:03:05
POL-0004016,ENC-2026-004016,Policyholder_4016,General Liability,Bodily Injury,2024-08-15,2024-11-22,13763.91,5189.17,227015.75,KY,AGN-108,UW-018,ACTIVE,2025-06-19 13:47:05
POL-0004017,ENC-2026-004017,Policyholder_4017,Commercial Auto,Bodily Injury,2025-05-18,2025-12-21,25701.38,6003.14,363367.25,WV,AGN-143,UW-009,EXPIRED,2026-02-07 01:25:05
POL-0004018,ENC-2026-004018,Policyholder_4018,Commercial Auto,Comprehensive,2025-01-31,2025-08-01,28247.03,677.01,1758918.69,KY,AGN-126,UW-023,ACTIVE,2026-02-08 14:03:05
POL-0004019,ENC-2026-004019,Policyholder_4019,General Liability,Collision,2024-11-04,2024-12-05,31668.34,259.45,3385291.27,OH,AGN-078,UW-009,ACTIVE,2025-10-04 10:00:05
POL-0004020,ENC-2026-004020,Policyholder_4020,Commercial Property,Medical Payments,2026-01-10,2026-09-29,20912.53,8428.05,1767699.32,KY,AGN-133,UW-020,CANCELLED,2025-07-16 00:14:05
POL-0004021,ENC-2026-004021,Policyholder_4021,Business Owners Policy,Collision,2026-03-17,2027-03-12,43442.08,5094.16,3956163.44,IL,AGN-183,UW-005,ACTIVE,2026-03-03 14:51:05
POL-0004022,ENC-2026-004022,Policyholder_4022,General Liability,Property Damage,2025-07-03,2025-11-03,3532.29,2581.01,367165.82,IN,AGN-010,UW-027,ACTIVE,2025-10-18 02:31:05
POL-0004023,ENC-2026-004023,Policyholder_4023,General Liability,Medical Payments,2026-01-12,2026-06-17,29790.89,7677.3,3995000.69,IN,AGN-078,UW-023,ACTIVE,2026-03-11 19:08:05
POL-0004024,ENC-2026-004024,Policyholder_4024,General Liability,Bodily Injury,2025-11-19,2026-09-25,11206.75,5649.28,3412663.28,IN,AGN-070,UW-001,ACTIVE,2026-03-19 00:43:05
POL-0004025,ENC-2026-004025,Policyholder_4025,Workers Compensation,Umbrella,2025-05-23,2025-11-21,29933.71,1915.39,1237296.96,WV,AGN-060,UW-023,ACTIVE,2026-03-18 22:58:05
POL-0004026,ENC-2026-004026,Policyholder_4026,General Liability,Collision,2026-04-10,2026-05-23,26558.11,6135.13,2745637.34,SC,AGN-042,UW-009,ACTIVE,2025-06-20 13:40:05
POL-0004027,ENC-2026-004027,Policyholder_4027,Commercial Auto,Comprehensive,2026-02-22,2027-02-15,5246.19,9337.21,1711470.44,WV,AGN-155,UW-011,ACTIVE,2025-11-12 17:21:05
POL-0004028,ENC-2026-004028,Policyholder_4028,Workers Compensation,Umbrella,2024-12-15,2025-08-12,34968.48,2929.27,3689501.03,NC,AGN-074,UW-002,ACTIVE,2025-08-23 01:06:05
POL-0004029,ENC-2026-004029,Policyholder_4029,Workers Compensation,Bodily Injury,2025-01-15,2025-10-06,19110.22,9074.77,67206.78,VA,AGN-001,UW-021,ACTIVE,2025-09-29 19:23:05
POL-0004030,ENC-2026-004030,Policyholder_4030,General Liability,Collision,2026-03-01,2026-10-17,3210.12,4980.26,979057.85,IN,AGN-185,UW-011,ACTIVE,2025-10-21 05:08:05
POL-0004031,ENC-2026-004031,Policyholder_4031,General Liability,Collision,2025-11-09,2026-07-12,9757.44,1669.41,1640193.21,MD,AGN-172,UW-018,ACTIVE,2025-08-06 05:16:05
POL-0004032,ENC-2026-004032,Policyholder_4032,General Liability,Umbrella,2025-01-19,2025-10-08,15385.88,9476.86,823188.78,PA,AGN-111,UW-006,ACTIVE,2025-07-25 15:51:05
POL-0004033,ENC-2026-004033,Policyholder_4033,General Liability,Bodily Injury,2025-10-17,2026-02-06,26341.17,7917.09,1024399.82,KY,AGN-046,UW-024,EXPIRED,2026-03-03 14:40:05
POL-0004034,ENC-2026-004034,Policyholder_4034,Commercial Auto,Umbrella,2024-08-18,2024-10-01,1856.62,5913.8,3541640.19,OH,AGN-185,UW-022,ACTIVE,2026-04-06 12:42:05
POL-0004035,ENC-2026-004035,Policyholder_4035,General Liability,Bodily Injury,2026-02-08,2026-06-05,29718.02,1759.75,4064313.14,NC,AGN-114,UW-022,ACTIVE,2026-05-12 04:19:05
POL-0004036,ENC-2026-004036,Policyholder_4036,General Liability,Umbrella,2024-07-04,2025-05-20,32383.61,587.4,2104166.64,WV,AGN-178,UW-020,ACTIVE,2025-06-05 14:49:05
POL-0004037,ENC-2026-004037,Policyholder_4037,Workers Compensation,Bodily Injury,2024-07-06,2025-03-28,43023.86,5639.96,4071669.27,VA,AGN-054,UW-023,ACTIVE,2025-08-31 06:29:05
POL-0004038,ENC-2026-004038,Policyholder_4038,Business Owners Policy,Property Damage,2024-07-05,2025-05-29,36702.57,8114.64,3066577.63,KY,AGN-063,UW-025,ACTIVE,2026-05-09 02:21:05
POL-0004039,ENC-2026-004039,Policyholder_4039,Workers Compensation,Comprehensive,2025-07-25,2026-02-14,17605.51,5210.48,4956932.8,KY,AGN-123,UW-005,ACTIVE,2026-01-30 15:14:05
POL-0004040,ENC-2026-004040,Policyholder_4040,Commercial Auto,Property Damage,2024-05-28,2024-10-02,28198.16,8771.27,396691.62,NC,AGN-155,UW-027,ACTIVE,2025-12-21 04:09:05
POL-0004041,ENC-2026-004041,Policyholder_4041,Workers Compensation,Collision,2025-06-24,2026-02-10,36095.23,7593.99,882528.74,MD,AGN-026,UW-009,ACTIVE,2025-08-18 13:14:05
POL-0004042,ENC-2026-004042,Policyholder_4042,Workers Compensation,Property Damage,2025-04-15,2026-04-10,28021.94,7768.3,2878312.0,SC,AGN-036,UW-015,ACTIVE,2025-06-21 20:14:05
POL-0004043,ENC-2026-004043,Policyholder_4043,Workers Compensation,Umbrella,2025-10-31,2026-05-19,33565.56,2825.77,3148206.78,IN,AGN-191,UW-022,CANCELLED,2026-04-24 09:39:05
POL-0004044,ENC-2026-004044,Policyholder_4044,Commercial Property,Bodily Injury,2025-03-01,2025-06-30,21429.63,4229.53,2133360.45,SC,AGN-130,UW-001,ACTIVE,2025-06-28 02:09:05
POL-0004045,ENC-2026-004045,Policyholder_4045,Business Owners Policy,Collision,2025-07-28,2025-09-21,15459.75,595.18,1041875.88,PA,AGN-044,UW-027,ACTIVE,2025-12-29 10:13:05
POL-0004046,ENC-2026-004046,Policyholder_4046,Workers Compensation,Medical Payments,2025-10-04,2026-01-21,42592.12,7391.91,744150.23,NC,AGN-163,UW-003,ACTIVE,2025-12-25 13:42:05
POL-0004047,ENC-2026-004047,Policyholder_4047,Workers Compensation,Bodily Injury,2026-02-24,2026-07-10,44536.7,7184.79,990817.82,IN,AGN-012,UW-020,ACTIVE,2026-04-22 10:18:05
POL-0004048,ENC-2026-004048,Policyholder_4048,Commercial Property,Comprehensive,2025-02-28,2025-12-28,45727.39,7437.27,1241812.51,IN,AGN-192,UW-006,ACTIVE,2026-03-03 09:51:05
POL-0004049,ENC-2026-004049,Policyholder_4049,Workers Compensation,Collision,2025-03-10,2025-08-28,27676.67,851.95,2219669.62,SC,AGN-172,UW-013,ACTIVE,2025-12-28 11:51:05
POL-0004050,ENC-2026-004050,Policyholder_4050,General Liability,Property Damage,2024-11-23,2025-07-22,23600.67,6675.69,198060.85,GA,AGN-021,UW-024,ACTIVE,2026-05-04 21:57:05
POL-0004051,ENC-2026-004051,Policyholder_4051,Workers Compensation,Comprehensive,2026-03-19,2026-06-12,38682.92,3876.22,3049705.99,PA,AGN-033,UW-004,ACTIVE,2026-03-28 21:29:05
POL-0004052,ENC-2026-004052,Policyholder_4052,Commercial Property,Property Damage,2024-12-18,2025-06-23,14333.54,5945.68,4141798.9,SC,AGN-200,UW-024,ACTIVE,2026-04-24 06:51:05
POL-0004053,ENC-2026-004053,Policyholder_4053,Workers Compensation,Comprehensive,2025-10-11,2025-12-16,9062.92,549.98,2863778.53,VA,AGN-005,UW-023,ACTIVE,2025-10-25 11:58:05
POL-0004054,ENC-2026-004054,Policyholder_4054,Commercial Property,Collision,2025-07-28,2025-10-09,2484.99,8512.23,3441036.83,VA,AGN-020,UW-001,ACTIVE,2025-11-28 09:11:05
POL-0004055,ENC-2026-004055,Policyholder_4055,Business Owners Policy,Comprehensive,2026-04-16,2026-09-04,23057.61,3335.85,1965835.5,OH,AGN-198,UW-014,ACTIVE,2025-10-10 09:20:05
